id,name,region,height,weight,base_experience,types,abilities,moves,location_area_encounters,held_items,base_happiness,color,capture_rate,evolves_from,is_baby,is_mythical,is_legendary,hp,attack,defense,special-attack,special-defense,speed
1,bulbasaur,kanto,7,69,64,"['grass', 'poison']","['overgrow', 'chlorophyll']","['razor-wind', 'swords-dance', 'cut', 'bind', 'vine-whip', 'headbutt', 'tackle', 'body-slam', 'take-down', 'double-edge', 'growl', 'strength', 'mega-drain', 'leech-seed', 'growth', 'razor-leaf', 'solar-beam', 'poison-powder', 'sleep-powder', 'petal-dance', 'string-shot', 'toxic', 'rage', 'mimic', 'double-team', 'defense-curl', 'light-screen', 'reflect', 'bide', 'sludge', 'skull-bash', 'amnesia', 'flash', 'rest', 'substitute', 'snore', 'curse', 'protect', 'sludge-bomb', 'mud-slap', 'outrage', 'giga-drain', 'endure', 'charm', 'false-swipe', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'sweet-scent', 'synthesis', 'hidden-power', 'sunny-day', 'rock-smash', 'facade', 'nature-power', 'helping-hand', 'ingrain', 'knock-off', 'secret-power', 'weather-ball', 'grass-whistle', 'bullet-seed', 'magical-leaf', 'natural-gift', 'worry-seed', 'seed-bomb', 'energy-ball', 'leaf-storm', 'power-whip', 'captivate', 'grass-knot', 'venoshock', 'acid-spray', 'round', 'echoed-voice', 'grass-pledge', 'work-up', 'grassy-terrain', 'confide', 'grassy-glide', 'tera-blast', 'trailblaze']","['cerulean-city-area', 'pallet-town-area', 'lumiose-city-area', 'alola-route-2-main']",Não encontrado.,50.0,green,45,Não encontrado.,False,False,False,45,49,49,65,65,45
4,charmander,kanto,6,85,62,['fire'],"['blaze', 'solar-power']","['mega-punch', 'fire-punch', 'thunder-punch', 'scratch', 'swords-dance', 'cut', 'wing-attack', 'mega-kick', 'headbutt', 'body-slam', 'take-down', 'double-edge', 'leer', 'bite', 'growl', 'roar', 'ember', 'flamethrower', 'submission', 'counter', 'seismic-toss', 'strength', 'dragon-rage', 'fire-spin', 'dig', 'toxic', 'rage', 'mimic', 'double-team', 'smokescreen', 'defense-curl', 'reflect', 'bide', 'fire-blast', 'swift', 'skull-bash', 'fury-swipes', 'rest', 'rock-slide', 'slash', 'substitute', 'snore', 'curse', 'protect', 'scary-face', 'belly-drum', 'mud-slap', 'outrage', 'endure', 'false-swipe', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'dragon-breath', 'iron-tail', 'metal-claw', 'hidden-power', 'sunny-day', 'crunch', 'ancient-power', 'rock-smash', 'beat-up', 'heat-wave', 'will-o-wisp', 'facade', 'focus-punch', 'helping-hand', 'brick-break', 'secret-power', 'weather-ball', 'air-cutter', 'overheat', 'rock-tomb', 'aerial-ace', 'dragon-claw', 'dragon-dance', 'natural-gift', 'fling', 'flare-blitz', 'dragon-pulse', 'dragon-rush', 'focus-blast', 'shadow-claw', 'fire-fang', 'captivate', 'hone-claws', 'flame-burst', 'flame-charge', 'round', 'echoed-voice', 'incinerate', 'acrobatics', 'inferno', 'fire-pledge', 'dragon-tail', 'work-up', 'confide', 'power-up-punch', 'breaking-swipe', 'tera-blast', 'temper-flare']","['pallet-town-area', 'kanto-route-24-area', 'lumiose-city-area', 'alola-route-3-main']",Não encontrado.,50.0,red,45,Não encontrado.,False,False,False,39,52,43,60,50,65
7,squirtle,kanto,5,90,63,['water'],"['torrent', 'rain-dish']","['mega-punch', 'ice-punch', 'mega-kick', 'headbutt', 'tackle', 'body-slam', 'take-down', 'double-edge', 'tail-whip', 'bite', 'mist', 'water-gun', 'hydro-pump', 'surf', 'ice-beam', 'blizzard', 'bubble-beam', 'submission', 'counter', 'seismic-toss', 'strength', 'dig', 'toxic', 'confusion', 'rage', 'mimic', 'double-team', 'withdraw', 'defense-curl', 'haze', 'reflect', 'bide', 'waterfall', 'skull-bash', 'bubble', 'rest', 'rock-slide', 'substitute', 'snore', 'curse', 'flail', 'protect', 'mud-slap', 'foresight', 'icy-wind', 'outrage', 'endure', 'rollout', 'false-swipe', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'dynamic-punch', 'rapid-spin', 'iron-tail', 'hidden-power', 'rain-dance', 'mirror-coat', 'rock-smash', 'whirlpool', 'fake-out', 'hail', 'facade', 'focus-punch', 'follow-me', 'helping-hand', 'brick-break', 'yawn', 'refresh', 'secret-power', 'dive', 'mud-sport', 'weather-ball', 'rock-tomb', 'water-spout', 'muddy-water', 'iron-defense', 'mud-shot', 'water-pulse', 'gyro-ball', 'brine', 'natural-gift', 'fling', 'aqua-ring', 'aura-sphere', 'aqua-tail', 'dragon-pulse', 'zen-headbutt', 'captivate', 'aqua-jet', 'round', 'scald', 'shell-smash', 'water-pledge', 'work-up', 'confide', 'power-up-punch', 'liquidation', 'life-dew', 'flip-turn', 'wave-crash', 'tera-blast', 'ice-spinner', 'chilling-water']","['vermilion-city-area', 'pallet-town-area', 'lumiose-city-area', 'seaward-cave-area']",Não encontrado.,50.0,blue,45,Não encontrado.,False,False,False,44,48,65,50,64,43
10,caterpie,kanto,3,29,39,['bug'],"['shield-dust', 'run-away']","['tackle', 'string-shot', 'snore', 'bug-bite', 'electroweb']","['eterna-forest-area', 'sinnoh-route-204-south-towards-jubilife-city', 'sinnoh-route-204-north-towards-floaroma-town', 'johto-route-30-area', 'johto-route-31-area', 'ilex-forest-area', 'johto-route-34-area', 'johto-route-35-area', 'national-park-area', 'unknown-all-bugs-area', 'johto-route-36-area', 'johto-route-37-area', 'johto-route-38-area', 'johto-route-39-area', 'lake-of-rage-area', 'kanto-route-26-area', 'kanto-route-27-area', 'kanto-route-2-south-towards-viridian-city', 'kanto-route-24-area', 'kanto-route-25-area', 'kanto-route-2-north-towards-pewter-city', 'viridian-forest-area', 'pattern-bush-area', 'kalos-route-2-area', 'santalune-forest-area', 'azalea-town-area', 'alola-route-1-east', 'alola-route-1-south', 'alola-route-1-west', 'alola-route-5-area', 'lush-jungle-north', 'lush-jungle-south', 'lush-jungle-west', 'melemele-meadow-area']",Não encontrado.,50.0,green,255,Não encontrado.,False,False,False,45,30,35,20,20,45
13,weedle,kanto,3,32,39,"['bug', 'poison']","['shield-dust', 'run-away']","['poison-sting', 'string-shot', 'bug-bite', 'electroweb']","['eterna-forest-area', 'sinnoh-route-204-south-towards-jubilife-city', 'sinnoh-route-204-north-towards-floaroma-town', 'johto-route-30-area', 'johto-route-31-area', 'ilex-forest-area', 'johto-route-34-area', 'johto-route-35-area', 'national-park-area', 'unknown-all-bugs-area', 'johto-route-36-area', 'johto-route-37-area', 'johto-route-38-area', 'johto-route-39-area', 'lake-of-rage-area', 'kanto-route-26-area', 'kanto-route-27-area', 'kanto-route-2-south-towards-viridian-city', 'kanto-route-24-area', 'kanto-route-25-area', 'kanto-route-2-north-towards-pewter-city', 'viridian-forest-area', 'pattern-bush-area', 'kalos-route-2-area', 'santalune-forest-area', 'azalea-town-area']",Não encontrado.,70.0,brown,255,Não encontrado.,False,False,False,40,35,30,20,20,50
16,pidgey,kanto,3,18,50,"['normal', 'flying']","['keen-eye', 'tangled-feet', 'big-pecks']","['razor-wind', 'gust', 'wing-attack', 'whirlwind', 'fly', 'sand-attack', 'headbutt', 'tackle', 'take-down', 'double-edge', 'toxic', 'agility', 'quick-attack', 'rage', 'mimic', 'double-team', 'reflect', 'bide', 'mirror-move', 'swift', 'sky-attack', 'rest', 'substitute', 'thief', 'snore', 'curse', 'protect', 'feint-attack', 'mud-slap', 'foresight', 'detect', 'endure', 'swagger', 'steel-wing', 'attract', 'sleep-talk', 'return', 'frustration', 'pursuit', 'hidden-power', 'twister', 'rain-dance', 'sunny-day', 'uproar', 'heat-wave', 'facade', 'secret-power', 'feather-dance', 'air-cutter', 'aerial-ace', 'roost', 'natural-gift', 'pluck', 'tailwind', 'u-turn', 'air-slash', 'brave-bird', 'defog', 'captivate', 'ominous-wind', 'round', 'work-up', 'hurricane', 'confide']","['sinnoh-route-229-area', 'johto-route-29-area', 'johto-route-30-area', 'johto-route-31-area', 'johto-route-32-area', 'ilex-forest-area', 'johto-route-34-area', 'johto-route-35-area', 'national-park-area', 'johto-route-36-area', 'johto-route-37-area', 'kanto-route-12-area', 'kanto-route-1-area', 'kanto-route-2-south-towards-viridian-city', 'kanto-route-3-area', 'kanto-route-5-area', 'kanto-route-6-area', 'kanto-route-7-area', 'kanto-route-8-area', 'kanto-route-11-area', 'kanto-route-13-area', 'kanto-route-14-area', 'kanto-route-15-area', 'kanto-sea-route-21-area', 'kanto-route-24-area', 'kanto-route-25-area', 'kanto-route-2-north-towards-pewter-city', 'viridian-forest-area', 'berry-forest-area', 'bond-bridge-area', 'five-isle-meadow-area', 'kalos-route-2-area', 'kalos-route-3-area', 'johto-safari-zone-zone-forest']",Não encontrado.,70.0,brown,255,Não encontrado.,False,False,False,40,45,40,35,35,56
19,rattata,kanto,3,35,51,['normal'],"['run-away', 'guts', 'hustle']","['cut', 'headbutt', 'tackle', 'body-slam', 'take-down', 'double-edge', 'tail-whip', 'bite', 'water-gun', 'ice-beam', 'blizzard', 'bubble-beam', 'counter', 'thunderbolt', 'thunder-wave', 'thunder', 'dig', 'toxic', 'quick-attack', 'rage', 'mimic', 'screech', 'double-team', 'defense-curl', 'focus-energy', 'bide', 'swift', 'skull-bash', 'fury-swipes', 'rest', 'hyper-fang', 'super-fang', 'substitute', 'thief', 'flame-wheel', 'snore', 'curse', 'reversal', 'protect', 'sludge-bomb', 'mud-slap', 'icy-wind', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'pursuit', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'crunch', 'shadow-ball', 'rock-smash', 'uproar', 'facade', 'taunt', 'revenge', 'endeavor', 'secret-power', 'covet', 'shock-wave', 'natural-gift', 'pluck', 'u-turn', 'assurance', 'me-first', 'last-resort', 'sucker-punch', 'zen-headbutt', 'captivate', 'grass-knot', 'charge-beam', 'round', 'retaliate', 'final-gambit', 'work-up', 'wild-charge', 'confide', 'laser-focus']","['sinnoh-route-225-area', 'sinnoh-sea-route-226-area', 'johto-route-29-area', 'johto-route-30-area', 'johto-route-31-area', 'sprout-tower-2f', 'sprout-tower-3f', 'johto-route-32-area', 'union-cave-1f', 'union-cave-b1f', 'union-cave-b2f', 'johto-route-33-area', 'johto-route-34-area', 'burned-tower-1f', 'burned-tower-b1f', 'bell-tower-2f', 'bell-tower-3f', 'bell-tower-4f', 'bell-tower-5f', 'bell-tower-6f', 'bell-tower-7f', 'bell-tower-8f', 'bell-tower-9f', 'johto-route-38-area', 'johto-route-39-area', 'johto-route-42-area', 'mt-mortar-1f', 'mt-mortar-lower-cave', 'mt-mortar-b1f', 'johto-route-46-area', 'bell-tower-10f', 'unknown-all-rattata-area', 'kanto-route-1-area', 'kanto-route-2-south-towards-viridian-city', 'kanto-route-3-area', 'kanto-route-4-area', 'kanto-route-5-area', 'kanto-route-6-area', 'kanto-route-7-area', 'kanto-route-8-area', 'kanto-route-9-area', 'kanto-route-10-area', 'kanto-route-11-area', 'kanto-route-16-area', 'kanto-route-17-area', 'kanto-route-18-area', 'kanto-sea-route-21-area', 'kanto-route-22-area', 'tohjo-falls-area', 'pokemon-mansion-1f', 'pokemon-mansion-2f', 'pokemon-mansion-3f', 'pokemon-mansion-b1f', 'castelia-city-area', 'castelia-sewers-area', 'castelia-sewers-unknown-area-38', 'relic-passage-castelia-sewers-entrance', 'alola-route-1-south']",['chilan-berry'],70.0,purple,255,Não encontrado.,False,False,False,30,56,35,25,35,72
21,spearow,kanto,3,20,52,"['normal', 'flying']","['keen-eye', 'sniper']","['razor-wind', 'wing-attack', 'whirlwind', 'fly', 'headbutt', 'fury-attack', 'take-down', 'double-edge', 'leer', 'growl', 'peck', 'drill-peck', 'toxic', 'agility', 'quick-attack', 'rage', 'mimic', 'double-team', 'focus-energy', 'bide', 'mirror-move', 'swift', 'sky-attack', 'rest', 'tri-attack', 'substitute', 'thief', 'snore', 'curse', 'protect', 'scary-face', 'feint-attack', 'mud-slap', 'detect', 'endure', 'false-swipe', 'swagger', 'steel-wing', 'attract', 'sleep-talk', 'return', 'frustration', 'pursuit', 'hidden-power', 'twister', 'rain-dance', 'sunny-day', 'uproar', 'heat-wave', 'facade', 'secret-power', 'feather-dance', 'astonish', 'air-cutter', 'aerial-ace', 'roost', 'natural-gift', 'pluck', 'tailwind', 'u-turn', 'assurance', 'defog', 'captivate', 'ominous-wind', 'round', 'echoed-voice', 'work-up', 'drill-run', 'confide']","['sinnoh-route-225-area', 'sinnoh-sea-route-226-area', 'johto-route-29-area', 'johto-route-30-area', 'johto-route-31-area', 'johto-route-32-area', 'johto-route-33-area', 'johto-route-42-area', 'johto-route-43-area', 'johto-route-44-area', 'johto-route-45-area', 'johto-route-46-area', 'johto-route-47-area', 'kanto-route-3-area', 'kanto-route-4-area', 'kanto-route-7-area', 'kanto-route-9-area', 'kanto-route-10-area', 'kanto-route-11-area', 'kanto-route-16-area', 'kanto-route-17-area', 'kanto-route-18-area', 'kanto-route-22-area', 'kanto-route-23-area', 'mt-ember-area', 'kindle-road-area', 'treasure-beach-area', 'cape-brink-area', 'water-path-area', 'ruin-valley-area', 'canyon-entrance-area', 'goldenrod-city-north-gate', 'azalea-town-area', 'johto-safari-zone-zone-wetland', 'alola-route-2-north', 'alola-route-3-north', 'alola-route-3-south', 'poke-pelago-poni-island-reached', 'poke-pelago-ulaula-island-reached', 'poke-pelago-elite-four-defeated']",['sharp-beak'],70.0,brown,255,Não encontrado.,False,False,False,40,60,30,31,31,70
23,ekans,kanto,20,69,58,['poison'],"['intimidate', 'shed-skin', 'unnerve']","['bind', 'slam', 'headbutt', 'body-slam', 'wrap', 'take-down', 'double-edge', 'poison-sting', 'leer', 'bite', 'disable', 'acid', 'strength', 'mega-drain', 'earthquake', 'fissure', 'dig', 'toxic', 'rage', 'mimic', 'screech', 'double-team', 'haze', 'bide', 'skull-bash', 'glare', 'leech-life', 'rest', 'rock-slide', 'substitute', 'thief', 'snore', 'curse', 'spite', 'protect', 'scary-face', 'sludge-bomb', 'mud-slap', 'giga-drain', 'endure', 'swagger', 'attract', 'sleep-talk', 'return', 'frustration', 'pursuit', 'iron-tail', 'hidden-power', 'rain-dance', 'sunny-day', 'crunch', 'beat-up', 'stockpile', 'spit-up', 'swallow', 'torment', 'facade', 'knock-off', 'snatch', 'secret-power', 'poison-fang', 'rock-tomb', 'mud-shot', 'poison-tail', 'natural-gift', 'payback', 'gastro-acid', 'sucker-punch', 'toxic-spikes', 'poison-jab', 'dark-pulse', 'aqua-tail', 'seed-bomb', 'switcheroo', 'fire-fang', 'mud-bomb', 'gunk-shot', 'captivate', 'venoshock', 'sludge-wave', 'coil', 'acid-spray', 'round', 'bulldoze', 'snarl', 'belch', 'confide', 'infestation', 'brutal-swing', 'psychic-fangs', 'scale-shot', 'skitter-smack', 'lash-out', 'tera-blast', 'trailblaze']","['sinnoh-route-212-east-towards-pastoria-city', 'johto-route-32-area', 'johto-route-33-area', 'johto-route-42-area', 'kanto-route-26-area', 'kanto-route-27-area', 'kanto-route-3-area', 'kanto-route-4-area', 'kanto-route-8-area', 'kanto-route-9-area', 'kanto-route-10-area', 'kanto-route-11-area', 'kanto-route-23-area', 'azalea-town-area', 'johto-safari-zone-zone-marshland', 'alola-route-2-north', 'alola-route-2-south']",Não encontrado.,70.0,purple,255,Não encontrado.,False,False,False,35,60,44,40,54,55
27,sandshrew,kanto,6,120,60,['ground'],"['sand-veil', 'sand-rush']","['scratch', 'swords-dance', 'cut', 'sand-attack', 'headbutt', 'body-slam', 'take-down', 'double-edge', 'poison-sting', 'submission', 'low-kick', 'counter', 'seismic-toss', 'strength', 'earthquake', 'fissure', 'dig', 'toxic', 'agility', 'rage', 'mimic', 'double-team', 'defense-curl', 'bide', 'swift', 'skull-bash', 'amnesia', 'leech-life', 'fury-swipes', 'rest', 'rock-slide', 'super-fang', 'slash', 'substitute', 'thief', 'snore', 'curse', 'flail', 'protect', 'mud-slap', 'spikes', 'detect', 'sandstorm', 'endure', 'rollout', 'false-swipe', 'swagger', 'fury-cutter', 'attract', 'sleep-talk', 'return', 'frustration', 'safeguard', 'magnitude', 'dynamic-punch', 'rapid-spin', 'iron-tail', 'metal-claw', 'hidden-power', 'sunny-day', 'rock-smash', 'facade', 'focus-punch', 'brick-break', 'knock-off', 'endeavor', 'secret-power', 'crush-claw', 'rock-tomb', 'sand-tomb', 'aerial-ace', 'mud-shot', 'covet', 'gyro-ball', 'natural-gift', 'fling', 'poison-jab', 'night-slash', 'x-scissor', 'earth-power', 'shadow-claw', 'rock-climb', 'stone-edge', 'captivate', 'stealth-rock', 'hone-claws', 'smack-down', 'round', 'chip-away', 'bulldoze', 'work-up', 'rototiller', 'confide', 'high-horsepower', 'throat-chop', 'stomping-tantrum', 'steel-roller', 'scorching-sands', 'tera-blast']","['wayward-cave-1f', 'wayward-cave-b1f', 'union-cave-1f', 'union-cave-b1f', 'mt-moon-1f', 'mt-moon-2f', 'kanto-route-3-area', 'kanto-route-4-area', 'kanto-route-8-area', 'kanto-route-9-area', 'kanto-route-10-area', 'kanto-route-11-area', 'kanto-route-23-area', 'hoenn-route-111-area', 'hoenn-route-113-area', 'mirage-tower-area', 'desert-resort-entrance', 'desert-resort-area', 'relic-castle-a', 'johto-safari-zone-zone-desert']","['quick-claw', 'grip-claw']",50.0,yellow,255,Não encontrado.,False,False,False,50,75,85,20,30,40
